City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,aasiaat,68.7098,-52.8699,-6.77,77,100,2.56,GL,1713561329
1,port elizabeth,-33.918,25.5701,18.51,95,20,1.03,ZA,1713561329
2,dudinka,69.4058,86.1778,-9.62,96,100,3.13,RU,1713561329
3,marsh harbour,26.5412,-77.0636,23.87,66,63,3.41,BS,1713561330
4,kill devil hills,36.0307,-75.676,18.0,86,100,3.6,US,1713561330
5,kamaishi,39.2667,141.8833,9.01,80,18,3.21,JP,1713561330
6,ajdabiya,30.7554,20.2263,17.23,72,81,9.18,LY,1713561331
7,mao,39.8885,4.2658,10.31,76,0,2.06,ES,1713561331
8,yaren,-0.5472,166.916,29.11,73,82,4.66,NR,1713561331
9,port-aux-francais,-49.35,70.2167,3.83,62,58,9.02,TF,1713561331
10,lebu,-37.6167,-73.65,14.0,74,100,3.88,CL,1713561332
11,jinchang,38.4953,102.1739,10.56,54,100,1.82,CN,1713561332
12,iqaluit,63.7506,-68.5145,-9.61,66,50,4.92,CA,1713561332
13,college,64.8569,-147.8028,12.97,21,0,1.54,US,1713561332
14,lompoc,34.6391,-120.4579,20.01,69,0,5.14,US,1713561188
15,san patricio,28.017,-97.5169,31.76,61,69,6.72,US,1713561333
16,waitangi,-43.9535,-176.5597,14.34,95,39,0.45,NZ,1713561333
17,daru,-9.0763,143.2092,25.86,92,100,4.43,PG,1713561333
18,margaret river,-33.95,115.0667,16.35,48,71,3.34,AU,1713561333
19,zhaqsy,51.9083,67.3133,15.72,68,27,1.02,KZ,1713561334
20,udachny,66.4167,112.4,-0.31,89,100,2.8,RU,1713561334
21,puerto ayora,-0.7393,-90.3518,28.98,95,57,1.79,EC,1713561334
22,rongelap,11.1635,166.8941,27.12,84,22,9.62,MH,1713561334
23,san antonio de pale,-1.4014,5.6325,28.53,86,100,3.12,GQ,1713561335
24,waddan,29.1614,16.139,16.24,65,18,7.63,LY,1713561335
25,hithadhoo,-0.6,73.0833,28.5,77,100,6.1,MV,1713561335
26,whitehorse,60.7161,-135.0538,4.06,32,34,5.36,CA,1713561336
27,avarua,-21.2078,-159.775,28.03,74,75,3.6,CK,1713561336
28,hirara,24.8,125.2833,24.27,86,100,7.7,JP,1713561336
29,turkmenbasy,40.0222,52.9552,21.21,37,0,3.95,TM,1713561336
30,luderitz,-26.6481,15.1594,16.56,83,56,3.75,NA,1713561337
31,yeppoon,-23.1333,150.7333,22.88,85,100,4.13,AU,1713561337
32,la mira,18.035,-102.3266,29.43,46,0,5.18,MX,1713561337
33,isangel,-19.55,169.2667,27.57,80,65,4.88,VU,1713561337
34,mahajanga,-15.7167,46.3167,26.8,65,100,3.21,MG,1713561338
35,tsiombe,-25.3,45.4833,20.55,83,2,2.16,MG,1713561338
36,port mathurin,-19.6833,63.4167,26.05,75,100,10.43,MU,1713561338
37,thompson,55.7435,-97.8558,-0.55,87,69,4.82,CA,1713561338
